name,2016 Rank,2015 Rank,2014 Rank,2013 Rank
래브라도 리트리버,1,1,1,1
저먼 셰퍼드,2,2,2,2
골든 리트리버,3,3,3,3
불독,4,4,4,5
비글,5,5,5,4
프렌치 불독,6,6,9,11
푸들,7,8,7,8
로트바일러,8,9,10,9
요크셔 테리어,9,7,6,6
복서,10,10,8,7
저먼 쇼트헤어드 포인터,11,11,12,13
시베리안 허스키,12,12,13,14
닥스훈트,13,13,11,10
그레이트 데인,14,15,15,16
도베르만 핀셔,15,14,14,12
오스트레일리언 셰퍼드,16,17,18,20
미니어처 슈나우저,17,16,16,17
펨브록 웰시 코기,18,20,22,24
카발리에 킹 찰스 스패니얼,19,18,19,18
시추,20,19,17,15
보스턴 테리어,21,22,23,23
포메라니안,22,21,20,19
하바나 실크 독,23,24,25,25
셰틀랜드 십도그,24,23,21,21
브리트니,25,26,27,30
잉글리시 스프링어 스패니얼,26,27,28,28
버니즈 마운틴 도그,27,29,32,32
잉글리쉬 마스티프,28,25,26,26
잉글리시 코커 스패니얼,29,30,30,29
치와와,30,28,24,22
비즐라,31,32,34,34
퍼그,32,33,33,31
말티즈,33,31,29,27
와이머라너,34,34,35,33
뉴펀들랜드,35,37,37,37
미니어처 아메리칸 셰퍼드,36,,,
러프 콜리,37,36,36,35
보더 콜리,38,38,40,44
바셋하운드,39,39,42,41
카네코르소,40,35,48,50
웨스트 하일랜드 화이트 테리어,41,41,38,36
로디지안 리지백,42,40,39,39
체서피크 베이 리트리버,43,42,41,43
시바견,44,45,47,46
비숑 프리제,45,44,44,40
아키다,46,46,46,45
말리노이즈,47,51,60,60
불마스티프,48,43,45,40
세인트 버나드,49,50,51,47
아이리쉬 소프트코티드 휘튼 테리어,50,47,49,51
포르투갈 워터 독,51,52,52,49
블러드 하운드,52,49,50,48
파피용,53,48,43,38
오스트레일리안 캐틀독,54,56,55,58
에어데일 테리어,55,53,57,56
잉글리시 코커 스패니얼,56,60,62,62
불 테리어,57,55,53,52
스코티시 테리어,58,58,59,55
알래스칸 맬러뮤트,59,54,54,57
휘핏,60,57,56,59
샤페이,61,59,58,54
달마티안,62,62,66,64
도그 드 보르도,63,63,63,65
저먼 와이어헤어드 포인터,64,68,71,71
사모예드,65,61,68,67
와이어헤어드 포인팅 그리폰,66,66,76,80
그레이트 피레니즈,67,67,75,69
미니어처 핀셔,68,64,61,53
카디건 웰시 코기,69,76,78,75
케언 테리어,70,70,69,61
라사압소,71,65,67,63
이탈리안 그레이하운드,72,71,74,66
아이리시 울프하운드,73,69,72,73
차우차우,74,73,70,70
올드 잉글리시 쉽독,75,74,77,78
아이리시 세터,76,72,73,72
차이니스 크레스티드,77,75,65,68
그레이터 스위스 마운틴 도그,78,78,80,74
자이언트 슈나우저,79,81,83,83
코통 드 튈레아르 ,80,85,31,
아메리칸 스태퍼드셔 테리어,81,77,84,76
스타포드셔 불 테리어,82,79,79,79
부비에 데 플랑드르,83,83,81,82
아나톨리아 셰퍼드,84,92,94,93
스탠더드 슈나우저,85,91,90,90
보더 테리어,86,82,85,81
노바 스코셔 덕 톨링 레트리버,87,99,99,97
바센지,88,87,86,85
"플랫 코티드 리트리버				",89,86,92,94
"잭 러셀 테리어				",90,104,105,102
"티베탄 테리어				",91,90,88,88
"키스혼드				",92,84,87,86
"페키니즈				",93,80,82,77
"노르웨이언 엘크하운드				",94,88,103,103
"레온베르거				",95,93,104,98
"랫 테리어				",96,101,111,
"브뤼셀 그리펀				",97,95,91,84
"보르조이				",98,89,102,99
"나폴리탄 마스티프				",99,106,114,111
"오스트레일리안 실키 테리어				",100,102,101,92
"와이어 폭스 테리어				",101,94,95,96
"르웰린				",102,96,89,91
"노리치 테리어				",103,103,97,89
"고든 세터				",104,105,100,105
